Date,Index
2022-01-02,65.23
2022-01-03,64.26
2022-01-04,51.03
2022-01-05,52.14
2022-01-06,49.26
2022-01-09,51.14
2022-01-10,56.11
2022-01-11,55.94
2022-01-12,52.17
2022-01-13,55.8
2022-01-17,53.71
2022-01-18,44.83
2022-01-19,39.14
2022-01-20,26.73
2022-01-23,23.13
2022-01-24,20.89
2022-01-25,19.51
2022-01-26,18.6
2022-01-27,23.86
2022-01-30,29.2
2022-01-31,30.8
2022-02-01,28.8
2022-02-02,26.06
2022-02-03,27.6
2022-02-06,27.91
2022-02-07,28.94
2022-02-08,32.66
2022-02-09,33.6
2022-02-10,28.49
2022-02-13,25.69
2022-02-14,29.97
2022-02-15,32.09
2022-02-16,32.46
2022-02-17,29.51
2022-02-21,28.77
2022-02-22,18.81
2022-02-23,21.23
2022-02-24,28.14
2022-02-27,25.47
2022-02-28,22.97
2022-03-01,17.83
2022-03-02,21.73
2022-03-03,18.17
2022-03-06,16.9
2022-03-07,16.67
2022-03-08,18.03
2022-03-09,17.96
2022-03-10,19.06
2022-03-13,17.5
2022-03-14,21.86
2022-03-15,25.26
2022-03-16,33.63
2022-03-17,38.43
2022-03-20,40.97
2022-03-21,44.54
2022-03-22,45.2
2022-03-23,46.91
2022-03-24,49.37
2022-03-27,51.26
2022-03-28,52.71
2022-03-29,52.8
2022-03-30,59.2
2022-03-31,59.8
2022-04-03,61.66
2022-04-04,47.91
2022-04-05,46.4
2022-04-06,46.83
2022-04-07,46.09
2022-04-10,43.4
2022-04-11,42.06
2022-04-12,41.8
2022-04-13,39.86
2022-04-17,37.6
2022-04-18,39.63
2022-04-19,43.31
2022-04-20,38.94
2022-04-21,31.63
2022-04-24,29.97
2022-04-25,17.9
2022-04-26,16.27
2022-04-27,24.26
2022-04-28,14.33
2022-05-01,13.27
2022-05-02,30.49
2022-05-03,22.4
2022-05-04,13.13
2022-05-05,12.24
2022-05-08,8.19
2022-05-09,7.4
2022-05-10,4.03
2022-05-11,3.2
2022-05-12,11.29
2022-05-15,11.74
2022-05-16,15.2
2022-05-17,6.6
2022-05-18,13.71
2022-05-19,12.66
2022-05-22,17.89
2022-05-23,16.0
2022-05-24,17.57
2022-05-25,24.11
2022-05-26,29.54
2022-05-30,40.06
2022-05-31,40.6
2022-06-01,44.83
2022-06-02,35.46
2022-06-05,42.8
2022-06-06,45.63
2022-06-07,48.11
2022-06-08,47.06
2022-06-09,40.0
2022-06-12,25.09
2022-06-13,20.53
2022-06-14,29.26
2022-06-15,17.7
2022-06-16,16.93
2022-06-20,19.73
2022-06-21,26.89
2022-06-22,26.74
2022-06-23,30.86
2022-06-26,30.77
2022-06-27,28.14
2022-06-28,26.54
2022-06-29,24.37
2022-06-30,24.57
2022-07-04,22.17
2022-07-05,22.83
2022-07-06,27.6
2022-07-07,31.34
2022-07-10,30.37
2022-07-11,30.31
2022-07-12,27.29
2022-07-13,26.51
2022-07-14,33.29
2022-07-17,35.89
2022-07-18,39.31
2022-07-19,44.09
2022-07-20,48.2
2022-07-21,42.43
2022-07-24,42.2
2022-07-25,42.0
2022-07-26,46.63
2022-07-27,48.49
2022-07-28,52.4
2022-07-31,59.09
