Date,Direction,Confidence,Entry,Exit,Shares,Position $,Volatility %,Stop Loss,Stopped Out,Return %,P&L $,Signals
2025-09-03,LONG,83.3%,$44.53,$44.71,112,$5000,3.42%,$43.19,NO,+0.39%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-04,LONG,83.3%,$45.76,$46.98,109,$5000,3.41%,$44.38,NO,+2.68%,$+134,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-08,LONG,83.3%,$46.56,$46.75,107,$5000,3.62%,$45.16,NO,+0.42%,$+21,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-09,LONG,83.3%,$46.94,$47.73,106,$5000,3.40%,$45.54,NO,+1.67%,$+83,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-10,LONG,83.3%,$47.00,$47.60,106,$5000,3.21%,$45.59,NO,+1.28%,$+64,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-11,LONG,83.3%,$47.79,$47.98,104,$5000,3.12%,$46.36,NO,+0.40%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-15,LONG,83.3%,$49.62,$49.83,100,$5000,2.82%,$48.13,NO,+0.43%,$+22,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-16,LONG,83.3%,$49.47,$49.44,101,$5000,2.77%,$47.99,NO,-0.06%,$-3,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-17,LONG,83.3%,$49.15,$50.37,101,$5000,2.92%,$47.68,NO,+2.48%,$+123,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-18,LONG,83.3%,$50.49,$50.94,99,$5000,2.95%,$48.98,NO,+0.88%,$+44,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-22,LONG,83.3%,$52.38,$52.39,95,$5000,2.54%,$50.81,NO,+0.02%,$+1,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-23,LONG,83.3%,$51.29,$51.50,97,$5000,2.61%,$49.76,NO,+0.40%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-24,LONG,83.3%,$50.70,$49.50,98,$5000,2.66%,$49.18,NO,-2.37%,$-118,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-25,LONG,83.3%,$50.03,$50.00,99,$5000,2.65%,$48.53,NO,-0.06%,$-3,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-29,LONG,83.3%,$51.31,$51.25,97,$5000,2.69%,$49.77,NO,-0.12%,$-6,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-09-30,LONG,83.3%,$51.70,$50.75,96,$5000,2.66%,$50.15,NO,-1.84%,$-91,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-01,LONG,83.3%,$52.44,$53.39,95,$5000,2.75%,$50.87,NO,+1.80%,$+90,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-02,LONG,83.3%,$53.05,$53.24,94,$5000,2.73%,$51.46,NO,+0.36%,$+18,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-06,LONG,83.3%,$53.51,$53.85,93,$5000,2.88%,$51.90,NO,+0.64%,$+32,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
2025-10-07,LONG,83.3%,$52.65,$52.86,94,$5000,2.92%,$51.07,NO,+0.41%,$+20,RGTI:-1.5% | QBTS:-0.9% | IONQ:-1.4% | QUBT:-0.9% | SOUN:-0.8% | INOD:+0.6%
