trade_num,entry_date,exit_date,days_held,position_size,position_type,entry_price,exit_price,price_change,price_change_pct,trade_return_pct,profit_loss,entry_fg_value,entry_fg_change,entry_fg_momentum_short,entry_fg_momentum_medium,entry_fg_momentum_long,entry_fg_velocity,entry_fg_acceleration,entry_fg_zscore,entry_volatility,entry_price_momentum,entry_fg_price_corr,exit_fg_value,exit_fg_momentum_short,exit_fg_velocity,exit_volatility,entry_signal_strength
1,2011-04-01,2011-04-11,10,1.38,LONG,102.88861846923828,102.3554458618164,-0.533172607421875,-0.518203680207141,-0.7151210786858546,LOSS,27,3.0,2.0,3.666666666666668,8.75,1.3333333333333333,1.0,-0.8076174673082877,0.15032591673213289,0.022359078888062545,0.6381160797426318,34,-2.0,-1.0,0.12365900916564875,1.4520000000000002
2,2011-04-21,2011-05-02,11,1.9734,LONG,103.37544250488281,105.26091003417969,1.885467529296875,1.8239027409317377,3.5992896689546914,PROFIT,30,5.0,3.666666666666668,3.166666666666668,-1.0,2.0,3.0,-0.34309980771296517,0.08784289728359182,0.010907926728818573,0.8437931818963257,36,-2.0,-0.3333333333333333,0.0883034132071112,1.4520000000000002
3,2011-06-20,2011-06-30,10,1.38,LONG,99.16644287109375,102.48234558105469,3.3159027099609375,3.343774984720671,4.614409478914526,PROFIT,9,2.0,1.666666666666667,2.666666666666667,2.666666666666667,1.3333333333333333,0.6666666666666666,-1.3012105526772897,0.15090966119938412,-0.013809825129246112,0.8904908350123143,32,1.6666666666666679,2.3333333333333335,0.15353046332420917,1.32
4,2011-07-01,2011-07-07,6,1.38,LONG,103.99665069580078,105.11488342285156,1.1182327270507812,1.0752584045439217,1.4838565982706118,PROFIT,34,2.0,2.0,7.166666666666668,16.333333333333332,1.6666666666666667,-0.6666666666666667,1.0477835754372766,0.15652342455819315,0.041691215947662785,0.6236544910668456,48,-2.3333333333333357,4.666666666666667,0.15052260170121223,1.2100000000000002
5,2011-07-18,2011-07-25,7,1.9734,LONG,101.42625427246094,103.92670440673828,2.5004501342773438,2.4652888467717515,4.865001010219374,PROFIT,44,12.0,8.333333333333336,10.0,5.333333333333336,4.333333333333333,3.9999999999999996,1.541036964446798,0.14798756487460663,-0.003384020117903841,0.9034146328766619,38,-7.666666666666664,-3.0,0.14730753131302568,1.32
6,2011-08-12,2011-08-19,7,1.2557999999999998,LONG,91.7270278930664,87.47148895263672,-4.2555389404296875,-4.639351168546213,-5.826097197460333,LOSS,6,3.0,2.3333333333333335,2.8333333333333335,-1.25,1.3333333333333333,0.6666666666666666,-0.9009638210042664,0.42843896264553194,-0.06277408905590509,0.8770132877851918,6,-0.666666666666667,-1.6666666666666667,0.44662824955206104,1.32
7,2011-08-23,2011-09-02,10,0.8049999999999999,LONG,90.42241668701172,91.51737213134766,1.0949554443359375,1.2109336207259513,0.9748015646843907,PROFIT,9,2.0,1.666666666666667,1.166666666666667,3.333333333333333,0.6666666666666666,0.6666666666666666,-0.6218485074674959,0.4708529012108918,-0.03152699782453583,0.8571635976921482,26,-0.6666666666666679,1.3333333333333333,0.4663458547615443,1.32
8,2011-09-12,2011-09-20,8,1.0464999999999998,LONG,90.60104370117188,93.80178833007812,3.20074462890625,3.5327900189132677,3.6970647547927338,PROFIT,31,6.0,4.0,4.0,7.416666666666668,1.0,1.6666666666666665,0.5863001665650038,0.31894892703128447,-0.011894869480244208,0.14758607508549784,32,-4.333333333333336,-0.3333333333333333,0.26950249394288023,1.32
9,2011-10-05,2011-10-17,12,1.2557999999999998,LONG,89.31346893310547,93.8486099243164,4.5351409912109375,5.077779471993971,6.376675460930027,PROFIT,27,4.0,3.666666666666668,3.333333333333332,1.0,1.6666666666666667,1.6666666666666667,0.3481085046118126,0.3011306232806342,-0.016315060106482093,0.31667604027350876,48,4.333333333333336,2.0,0.3176316661809249,1.32
10,2011-10-18,2011-10-28,10,1.2557999999999998,LONG,95.68299865722656,100.38200378417969,4.699005126953125,4.911013652265206,6.167250944514644,PROFIT,48,0.0,2.3333333333333357,4.333333333333336,11.583333333333336,2.0,0.0,1.954317084954294,0.3249126375753555,0.04950469762182963,0.7991969455425639,66,-2.0,1.3333333333333333,0.2761041464788499,1.2100000000000002
